Name,Tags,,,,,
Self Sex to erotic images or fantasy,Boundary,,,,,
Sexting,Boundary,,,,,
Engage in Commercial Sex,Boundary,,,,,
Strip clubs,Boundary,,,,,
Emotional Affairs,Boundary,,,,,
Physical contact with person outside committed relationship,Boundary,,,,,
Contact with former affair partners,Boundary,,,,,
Lying by omission,Boundary,,,,,
Dishonesty,Boundary,,,,,
Waking Away,Boundary,,,,,
Inappropriate Anger,Boundary,,,,,
Isolating,Boundary,,,,,
Raging,Boundary,,,,,
Using physical violence,Boundary,,,,,
Inappropriate touching,Boundary,,,,,
Objectifying body parts,Boundary,,,,,
Gawking (3 seconds or more),Boundary,,,,,
